emtak2008,emtak2025,note
22,23,
221,152,
221,221,
2211,2211,
22111,22111,
2219,1520,
2219,2212,
22191,22121,
22199,15201,
22199,22121,
222,152,
222,222,
222,236,
2221,2221,
2221,2225,
22211,22211,
22211,22251,
2222,2222,
2222,2225,
22221,22221,
22221,22251,
2223,2223,
2223,2224,
2223,2225,
2223,2366,
22231,22241,
22232,22231,
22239,22249,
22239,22251,
22239,23661,
2229,1520,
2229,2221,
2229,2225,
2229,2226,
22291,15201,
22291,22211,
22291,22251,
22291,22261,
23,23,
23,29,
23,31,
231,231,
231,293,
2311,2311,
23111,23111,
2312,2312,
2312,2932,
23121,23121,
23121,29321,
2313,2313,
2313,2315,
23131,23131,
23132,23132,
23132,23159,
2314,2314,
23141,23141,
2319,2315,
23191,23151,
23191,23159,
23199,23159,
232,232,
2320,2320,
23201,23201,
233,233,
2331,2331,
23311,23311,
2332,2332,
23321,23321,
234,234,
234,310,
2341,2341,
23411,23411,
2342,2342,
2342,3100,
23421,23421,
23421,31001,
2343,2343,
23431,23431,
2344,2344,
23441,23441,
2349,2341,
2349,2345,
23491,23411,
23491,23451,
235,235,
2351,2351,
23511,23511,
2352,2352,
23521,23521,
236,236,
2361,2361,
23611,23611,
23619,23619,
2362,2362,
23621,23621,
2363,2363,
23631,23631,
2364,2364,
23641,23641,
2365,2365,
23651,23651,
2369,2366,
23691,23661,
237,237,
2370,2370,
23701,23701,
23702,23702,
23709,23703,
239,239,
2391,2391,
23911,23911,
2399,2399,
23991,23991,
24,24,
241,241,
2410,2410,
24101,24101,
242,242,
2420,2420,
24201,24201,
243,243,
2431,2431,
24311,24311,
2432,2432,
24321,24321,
2433,2433,
24331,24331,
2434,2434,
24341,24341,
244,244,
2441,2441,
24411,24411,
2442,2442,
24421,24421,
2443,2443,
24431,24431,
2444,2444,
24441,24441,
2445,2445,
24451,24451,
2446,2446,
24461,24461,
245,245,
2451,2451,
24511,24511,
2452,2452,
24521,24521,
2453,2453,
2453,2454,
24531,24531,
24531,24541,
2454,2454,
24541,24541,
25,24,
25,25,
25,28,
25,42,
251,241,
251,251,
2511,2410,
2511,2511,
25111,25111,
25119,24101,
25119,25119,
2512,2512,
25121,25121,
252,252,
252,282,
2521,2521,
2521,2821,
25211,25211,
25211,28211,
2529,2522,
25291,25221,
253,252,
253,422,
2530,2521,
2530,4221,
25301,25211,
25301,42211,
254,253,
2540,2530,
25401,25301,
255,254,
2550,2540,
25501,25401,
256,255,
2561,2551,
2561,2552,
2561,2553,
25611,25511,
25611,25521,
25611,25531,
2562,2553,
25621,25531,
257,256,
2571,2561,
25711,25611,
2572,2562,
25721,25621,
2573,2563,
25731,25631,
25739,25631,
259,259,
2591,2591,
25911,25911,
2592,2592,
25921,25921,
2593,2593,
25931,25931,
2594,2594,
25941,25941,
2599,2599,
25991,25991,
26,26,
261,261,
2611,2611,
26111,26111,
2612,2612,
26121,26121,
262,262,
262,264,
2620,2620,
2620,2640,
26201,26201,
26201,26401,
263,263,
263,265,
2630,2630,
2630,2651,
26301,26301,
26301,26511,
264,264,
2640,2640,
26401,26401,
265,265,
265,267,
2651,2651,
2651,2670,
26511,26511,
26511,26701,
2652,2652,
26521,26521,
266,266,
2660,2660,
26601,26601,
267,267,
2670,2670,
26701,26701,
268,267,
2680,2670,
26801,26701,
27,27,
27,28,
27,29,
27,32,
271,271,
271,291,
2711,2711,
2711,2910,
27111,27111,
27111,29101,
2712,2711,
2712,2712,
27121,27111,
27121,27121,
272,272,
2720,2720,
27201,27201,
273,273,
2731,2731,
27311,27311,
2732,2732,
27321,27321,
2733,2733,
27331,27331,
274,274,
2740,2740,
27401,27401,
275,275,
275,282,
2751,2751,
27511,27511,
2752,2752,
2752,2821,
27521,27521,
27521,28211,
279,271,
279,279,
279,293,
279,329,
2790,2711,
2790,2790,
2790,2931,
2790,3299,
27901,27111,
27901,27901,
27901,29311,
27901,32991,
28,25,
28,26,
28,27,
28,28,
28,29,
28,30,
281,281,
281,293,
281,309,
2811,2811,
2811,2932,
2811,3091,
28111,28111,
28111,29321,
28111,30911,
2812,2812,
28121,28121,
2813,2813,
28131,28131,
2814,2814,
28141,28141,
2815,2815,
28151,28151,
282,256,
282,262,
282,282,
282,289,
282,293,
2821,2821,
2821,2825,
28211,28211,
28211,28251,
2822,2822,
28221,28221,
2823,2620,
2823,2823,
28231,26201,
28231,28231,
2824,2563,
2824,2824,
28241,25631,
28241,28241,
2825,2825,
2825,2932,
28251,28251,
28251,29321,
2829,2829,
2829,2893,
28291,28291,
28291,28931,
283,283,
2830,2830,
28301,28301,
28301,28302,
284,279,
284,284,
2841,2841,
28411,28411,
2849,2790,
2849,2841,
2849,2842,
28491,27901,
28491,28411,
28491,28421,
289,283,
289,289,
2891,2891,
28911,28911,
2892,2830,
2892,2892,
28921,28301,
28921,28921,
2893,2893,
28931,28931,
2894,2894,
28941,28941,
2895,2895,
28951,28951,
2896,2896,
2896,2897,
28961,28961,
28961,28971,
2899,2897,
2899,2899,
28991,28971,
28991,28991,
29,29,
291,291,
2910,2910,
29101,29101,
292,292,
2920,2920,
29201,29201,
29202,29202,
293,293,
2931,2931,
29311,29311,
2932,2932,
29321,29321,
30,25,
30,30,
30,33,
301,301,
3011,3011,
3011,3013,
30111,30111,
30111,30131,
30112,30112,
3012,3012,
30121,30121,
302,302,
3020,3020,
30201,30201,
303,253,
303,303,
3030,2530,
3030,3031,
3030,3032,
30301,25301,
30301,30311,
30301,30321,
304,304,
304,331,
3040,3040,
3040,3318,
30401,30401,
30401,33181,
309,309,
3091,3091,
3091,3092,
30911,30911,
30911,30921,
3092,3092,
30921,30921,
3099,3099,
30991,30991,
31,16,
31,25,
31,31,
310,162,
310,251,
310,310,
3101,1623,
3101,2511,
3101,3100,
31011,16239,
31011,25111,
31011,31001,
3102,3100,
31021,31001,
3103,3100,
31031,31002,
3109,3100,
31091,31001,
31092,31001,
32,22,
32,26,
32,32,
321,321,
3211,3211,
32111,32111,
3212,3212,
32121,32121,
3213,3213,
32131,32131,
322,322,
3220,3220,
32201,32201,
323,323,
323,329,
3230,3230,
3230,3299,
32301,32301,
32301,32991,
324,324,
3240,3240,
32401,32401,
325,221,
325,266,
325,325,
3250,2212,
3250,2660,
3250,3250,
32501,26601,
32501,32501,
32502,32502,
32509,22121,
32509,26601,
32509,32501,
32509,32509,
329,325,
329,329,
3291,3291,
32911,32911,
3299,3250,
3299,3299,
32991,32509,
32991,32991,
33,03,
33,33,
33,43,
33,47,
33,91,
331,033,
331,331,
331,432,
331,474,
331,913,
3311,0330,
3311,3311,
3311,3317,
33111,03301,
33111,33111,
33111,33171,
3312,3312,
3312,3315,
3312,3318,
3312,4740,
33121,33121,
33121,33151,
33121,33181,
33121,47401,
3313,3313,
33131,33131,
3314,3314,
3314,4321,
33141,33141,
33141,43211,
3315,3315,
3315,3318,
33151,33151,
33151,33181,
3316,3316,
3316,3318,
33161,33161,
33161,33181,
3317,3317,
33171,33171,
3319,3319,
3319,4322,
3319,9130,
33191,33191,
33191,43222,
33191,91301,
332,332,
3320,3320,
33201,33201,
35,35,
351,351,
351,354,
3511,3511,
3511,3512,
3511,3516,
35111,35111,
35111,35161,
35112,35121,
35113,35122,
35119,35123,
35119,35129,
3512,3513,
35121,35131,
3513,3514,
35131,35141,
3514,3515,
3514,3540,
35141,35151,
35141,35401,
352,352,
352,354,
3521,3521,
35211,35211,
35211,35212,
35211,35213,
3522,3522,
35221,35221,
3523,3523,
3523,3540,
35231,35231,
35231,35401,
353,353,
3530,3530,
35301,35301,
36,36,
360,360,
3600,3600,
36001,36001,
36001,36002,
37,37,
370,370,
3700,3700,
37001,37001,
38,16,
38,20,
38,38,
381,381,
3811,3811,
38111,38111,
3812,3812,
38121,38121,
382,382,
382,383,
3821,3821,
3821,3822,
3821,3823,
3821,3831,
3821,3832,
3821,3833,
38211,38211,
38211,38221,
38211,38231,
38211,38311,
38211,38321,
38211,38331,
3822,3822,
3822,3823,
3822,3831,
3822,3832,
3822,3833,
38221,38221,
38221,38231,
38221,38311,
38221,38321,
38221,38331,
383,161,
383,201,
383,382,
3831,3821,
38311,38211,
3832,1612,
3832,2016,
3832,3821,
38321,16121,
38321,20161,
38321,38211,
39,39,
390,390,
3900,3900,
39001,39001,
41,41,
41,43,
41,68,
41,91,
411,681,
4110,6812,
41101,68121,
412,410,
412,439,
412,913,
4120,4100,
4120,4399,
4120,9130,
41201,41001,
41201,43999,
41201,91301,
42,41,
42,42,
42,43,
42,68,
421,421,
421,435,
4211,4211,
4211,4350,
42111,42111,
42111,43501,
4212,4212,
42121,42121,
4213,4213,
42131,42131,
422,422,
422,432,
4221,4221,
42211,42211,
42212,42212,
4222,4222,
4222,4321,
42221,42221,
42221,43211,
429,410,
429,429,
429,681,
4291,4291,
42911,42911,
4299,4100,
4299,4299,
4299,6812,
42991,41001,
42991,42991,
42991,68121,
43,42,
43,43,
43,81,
431,431,
4311,4311,
43111,43111,
4312,4312,
43121,43121,
43122,43122,
43129,43129,
4313,4313,
43131,43131,
432,432,
4321,4321,
43211,43211,
43212,43212,
43213,43213,
4322,4322,
43221,43221,
43222,43222,
4329,4323,
4329,4324,
43291,43231,
43299,43241,
433,432,
433,433,
433,812,
4331,4331,
43311,43311,
4332,4332,
4332,4335,
43321,43321,
43329,43329,
43329,43351,
4333,4333,
43331,43331,
4334,4334,
43341,43341,
4339,4323,
4339,4331,
4339,4332,
4339,4333,
4339,4334,
4339,4335,
4339,8122,
43391,43231,
43391,43311,
43391,43329,
43391,43331,
43391,43341,
43391,43351,
43391,81221,
439,429,
439,432,
439,433,
439,434,
439,435,
439,439,
439,812,
4391,4341,
43911,43411,
4399,4299,
4399,4322,
4399,4323,
4399,4335,
4399,4341,
4399,4342,
4399,4350,
4399,4391,
4399,4399,
4399,8122,
43991,43911,
43992,43223,
43993,43991,
43999,42991,
43999,43231,
43999,43351,
43999,43411,
43999,43421,
43999,43501,
43999,43999,
43999,81221,
45,46,
45,47,
45,95,
451,461,
451,467,
451,478,
451,479,
4511,4618,
4511,4671,
4511,4781,
4511,4792,
45111,46181,
45111,46711,
45111,47811,
45111,47921,
4519,4618,
4519,4671,
4519,4781,
4519,4792,
45191,46181,
45191,46711,
45191,47811,
45191,47921,
452,953,
4520,9531,
45201,95311,
45202,95311,
453,461,
453,467,
453,478,
453,479,
4531,4618,
4531,4672,
45311,46181,
45311,46721,
4532,4782,
4532,4792,
45321,47821,
45321,47921,
454,461,
454,467,
454,478,
454,479,
454,953,
4540,4618,
4540,4673,
4540,4783,
4540,4792,
4540,9532,
45401,46181,
45401,46731,
45401,47831,
45401,47921,
45401,95321,
46,46,
46,52,
461,461,
4611,4611,
46111,46111,
4612,4612,
46121,46121,
4613,4613,
46131,46131,
4614,4614,
46141,46141,
4615,4613,
4615,4615,
46151,46131,
46151,46151,
4616,4616,
46161,46161,
4617,4617,
46171,46171,
4618,4618,
46181,46181,
4619,4619,
46191,46191,
462,462,
462,463,
4621,4621,
4621,4633,
46211,46211,
46211,46331,
4622,4622,
46221,46221,
4623,4623,
46231,46231,
4624,4624,
46241,46241,
463,463,
4631,4631,
46311,46311,
4632,4632,
46321,46321,
4633,4633,
46331,46331,
4634,4634,
46341,46341,
46342,46349,
4635,4635,
46351,46351,
4636,4633,
4636,4636,
46361,46331,
46361,46361,
46361,46362,
4637,4637,
46371,46371,
4638,4631,
4638,4632,
4638,4638,
46381,46322,
46389,46311,
46389,46381,
4639,4639,
46391,46391,
464,464,
464,465,
464,466,
4641,4641,
46411,46411,
4642,4642,
46421,46421,
46422,46422,
4643,4643,
4643,4649,
4643,4664,
46431,46431,
46431,46499,
46431,46643,
4644,4644,
46441,46441,
46442,46442,
4645,4645,
46451,46451,
4646,4646,
46461,46461,
46462,46462,
4647,4647,
46471,46471,
4648,4648,
46481,46481,
4649,4649,
4649,4650,
46491,46491,
46492,46492,
46493,46493,
46493,46501,
46499,46499,
465,465,
4651,4650,
46511,46501,
4652,4650,
46521,46501,
46521,46502,
46521,46503,
466,464,
466,465,
466,466,
466,468,
4661,4661,
46611,46611,
4662,4662,
46621,46621,
4663,4663,
46631,46631,
4664,4664,
46641,46641,
4665,4647,
46651,46471,
4666,4650,
46661,46503,
4669,4664,
4669,4683,
46691,46642,
46692,46643,
46692,46649,
46693,46644,
46693,46831,
46699,46641,
46699,46649,
467,468,
467,522,
4671,4681,
4671,5222,
46711,46811,
46712,46812,
46712,52222,
46719,46819,
4672,4682,
46721,46821,
4673,4683,
46731,46831,
46732,46832,
4674,4684,
46741,46841,
46749,46842,
4675,4685,
46751,46851,
46759,46859,
4676,4686,
46761,46861,
4677,4687,
46771,46871,
469,469,
4690,4690,
46901,46901,
47,47,
47,60,
471,471,
471,479,
4711,4711,
4711,4791,
47111,47111,
47111,47911,
4719,4712,
4719,4791,
47191,47121,
47191,47911,
472,472,
472,479,
4721,4721,
4721,4792,
47211,47211,
47211,47921,
4722,4722,
4722,4792,
47221,47221,
47221,47921,
4723,4723,
4723,4792,
47231,47231,
47231,47921,
4724,4721,
4724,4724,
4724,4792,
47241,47211,
47241,47241,
47241,47921,
4725,4725,
4725,4792,
47251,47251,
47251,47921,
4726,4726,
4726,4792,
47261,47261,
47261,47921,
4729,4727,
4729,4792,
47291,47271,
47291,47921,
473,473,
473,479,
4730,4730,
4730,4792,
47301,47301,
47301,47921,
474,474,
474,479,
4741,4740,
4741,4792,
47411,47401,
47411,47921,
4742,4740,
4742,4792,
47421,47402,
47421,47921,
4743,4740,
4743,4792,
47431,47403,
47431,47921,
475,475,
475,476,
475,478,
475,479,
4751,4751,
4751,4792,
47511,47511,
47511,47921,
4752,4752,
4752,4782,
4752,4792,
47521,47521,
47521,47821,
47521,47921,
47522,47522,
47522,47921,
47529,47529,
47529,47921,
4753,4753,
4753,4792,
47531,47531,
47531,47921,
4754,4754,
4754,4792,
47541,47541,
47541,47921,
4759,4752,
4759,4755,
4759,4769,
4759,4792,
47591,47551,
47591,47921,
47599,47521,
47599,47559,
47599,47691,
47599,47921,
476,476,
476,479,
4761,4761,
4761,4792,
47611,47611,
47611,47921,
4762,4762,
4762,4792,
47621,47621,
47621,47921,
4763,4769,
4763,4792,
47631,47691,
47631,47921,
4764,4763,
4764,4792,
47641,47631,
47641,47921,
4765,4764,
4765,4792,
47651,47641,
47651,47921,
477,475,
477,476,
477,477,
477,479,
4771,4771,
4771,4792,
47711,47711,
47711,47921,
4772,4772,
4772,4792,
47721,47721,
47721,47921,
4773,4773,
4773,4792,
47731,47731,
47731,47921,
4774,4774,
4774,4792,
47741,47741,
47741,47921,
4775,4775,
4775,4792,
47751,47751,
47751,47921,
4776,4776,
4776,4792,
47761,47761,
47761,47921,
47762,47762,
47762,47921,
4777,4777,
4777,4792,
47771,47771,
47771,47921,
4778,4755,
4778,4763,
4778,4769,
4778,4774,
4778,4778,
4778,4792,
47781,47742,
47781,47781,
47781,47921,
47782,47782,
47782,47921,
47783,47559,
47783,47691,
47783,47783,
47783,47921,
47789,47559,
47789,47631,
47789,47691,
47789,47789,
47789,47921,
4779,4779,
4779,4791,
4779,4792,
47791,47791,
47791,47921,
47792,47792,
47792,47921,
47799,47799,
47799,47911,
47799,47921,
478,471,
478,472,
478,474,
478,475,
478,476,
478,477,
4781,4711,
4781,4721,
4781,4722,
4781,4723,
4781,4724,
4781,4725,
4781,4726,
4781,4727,
47811,47111,
47811,47211,
47811,47221,
47811,47231,
47811,47241,
47811,47251,
47811,47261,
47811,47271,
4782,4712,
4782,4751,
4782,4771,
4782,4772,
4782,4779,
47821,47121,
47821,47511,
47821,47711,
47821,47721,
47821,47799,
4789,4712,
4789,4740,
4789,4752,
4789,4753,
4789,4754,
4789,4755,
4789,4761,
4789,4762,
4789,4763,
4789,4764,
4789,4769,
4789,4774,
4789,4775,
4789,4776,
4789,4777,
4789,4778,
4789,4779,
47891,47121,
47891,47401,
47891,47521,
47891,47531,
47891,47541,
47891,47551,
47891,47611,
47891,47621,
47891,47631,
47891,47641,
47891,47691,
47891,47741,
47891,47751,
47891,47761,
47891,47771,
47891,47781,
47891,47782,
47891,47783,
47891,47789,
47891,47791,
47891,47792,
47891,47799,
479,471,
479,472,
479,474,
479,475,
479,476,
479,477,
479,479,
479,603,
4791,4711,
4791,4712,
4791,4721,
4791,4722,
4791,4723,
4791,4724,
4791,4725,
4791,4726,
4791,4727,
4791,4740,
4791,4751,
4791,4752,
4791,4753,
4791,4754,
4791,4755,
4791,4761,
4791,4762,
4791,4763,
4791,4764,
4791,4769,
4791,4771,
4791,4772,
4791,4773,
4791,4774,
4791,4775,
4791,4776,
4791,4777,
4791,4778,
4791,4779,
4791,4791,
4791,4792,
4791,6039,
47911,47111,
47911,47121,
47911,47211,
47911,47221,
47911,47231,
47911,47241,
47911,47251,
47911,47261,
47911,47271,
47911,47401,
47911,47402,
47911,47403,
47911,47511,
47911,47521,
47911,47522,
47911,47529,
47911,47531,
47911,47541,
47911,47551,
47911,47559,
47911,47611,
47911,47621,
47911,47631,
47911,47641,
47911,47691,
47911,47711,
47911,47721,
47911,47731,
47911,47741,
47911,47742,
47911,47751,
47911,47761,
47911,47762,
47911,47771,
47911,47781,
47911,47782,
47911,47783,
47911,47789,
47911,47791,
47911,47792,
47911,47799,
47911,47911,
47911,47921,
47911,60391,
4799,4711,
4799,4712,
4799,4721,
4799,4722,
4799,4723,
4799,4724,
4799,4725,
4799,4726,
4799,4727,
4799,4740,
4799,4751,
4799,4752,
4799,4753,
4799,4754,
4799,4755,
4799,4761,
4799,4762,
4799,4763,
4799,4764,
4799,4769,
4799,4771,
4799,4772,
4799,4774,
4799,4775,
4799,4776,
4799,4777,
4799,4778,
4799,4779,
4799,4791,
4799,4792,
47991,47111,
47991,47121,
47991,47211,
47991,47221,
47991,47231,
47991,47241,
47991,47251,
47991,47261,
47991,47271,
47991,47401,
47991,47402,
47991,47403,
47991,47511,
47991,47521,
47991,47522,
47991,47529,
47991,47531,
47991,47541,
47991,47551,
47991,47559,
47991,47611,
47991,47621,
47991,47631,
47991,47641,
47991,47691,
47991,47711,
47991,47721,
47991,47741,
47991,47742,
47991,47751,
47991,47761,
47991,47762,
47991,47771,
47991,47781,
47991,47782,
47991,47783,
47991,47789,
47991,47791,
47991,47792,
47991,47799,
47991,47911,
47991,47921,
49,36,
49,49,
49,52,
49,96,
491,491,
4910,4911,
4910,4912,
49101,49111,
49101,49121,
492,492,
4920,4920,
49201,49201,
493,491,
493,493,
493,523,
493,963,
4931,4912,
4931,4931,
4931,4934,
49311,49121,
49311,49311,
49319,49121,
49319,49319,
49319,49341,
4932,4933,
4932,5232,
4932,9630,
49321,49331,
49321,52321,
49321,96301,
4939,4931,
4939,4932,
4939,4934,
4939,4939,
49391,49312,
49399,49321,
49399,49341,
49399,49391,
494,494,
494,522,
494,963,
4941,4941,
4941,5224,
4941,9630,
49411,49411,
49411,52241,
49411,96301,
4942,4942,
49421,49421,
495,360,
495,495,
4950,3600,
4950,4950,
49501,36002,
49501,49501,
50,50,
501,501,
5010,5010,
50101,50101,
50101,50102,
502,502,
5020,5020,
50201,50201,
50202,50201,
503,503,
5030,5030,
50301,50301,
504,504,
5040,5040,
50401,50401,
51,51,
511,511,
5110,5110,
51101,51101,
512,512,
5121,5121,
51211,51211,
5122,5122,
51221,51221,
52,35,
52,52,
52,63,
521,352,
521,521,
521,631,
5210,3524,
5210,5210,
5210,6310,
52101,52101,
52101,63101,
52102,35241,
52102,52102,
522,522,
522,523,
5221,5221,
52211,52211,
52219,52219,
5222,5222,
52221,52221,
52221,52222,
52229,52229,
5223,5223,
52231,52231,
52239,52239,
5224,5224,
52241,52241,
5229,5225,
5229,5226,
5229,5231,
5229,5232,
52291,52261,
52292,52261,
52293,52262,
52299,52251,
52299,52261,
52299,52269,
52299,52311,
52299,52321,
53,53,
531,531,
5310,5310,
53101,53101,
532,532,
5320,5320,
53201,53201,
55,55,
551,551,
5510,5510,
55101,55101,
55102,55102,
55103,55103,
552,552,
5520,5520,
55201,55201,
55202,55202,
55203,55203,
55204,55204,
55205,55205,
553,553,
5530,5530,
55301,55301,
559,559,
5590,5590,
55901,55901,
56,56,
561,561,
5610,5611,
5610,5612,
56101,56111,
56101,56112,
56101,56121,
562,562,
5621,5621,
56211,56211,
5629,5622,
56291,56221,
563,563,
5630,5630,
56301,56301,
58,58,
581,581,
5811,5811,
58111,58111,
58112,58112,
5812,5819,
58121,58191,
5813,5812,
58131,58121,
5814,5813,
58141,58131,
5819,5819,
58191,58191,
582,582,
5821,5821,
58211,58211,
5829,5829,
58291,58291,
59,59,
591,591,
5911,5911,
